ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl
94805_f_at	-1.5855711718825791	13.66984987928833	-13.170210568113273	4.879459124357392e-9	5.803303385235725e-7	11.230161247727459	NA.31
160585_at	-1.6002998158972348	7.537653169469964	-7.630631580374322	3.1447412234439705e-6	7.655268693639046e-5	4.58073122748389	ENSMUSG00000038510
103285_at	-1.604350782342772	7.414825718620783	-8.07118300895727	1.6831282730649562e-6	4.733987809467382e-5	5.228653433429779	ENSMUSG00000030322
100903_at	-1.6206402058744018	9.44724926236287	-5.833470747186644	5.221811612661251e-5	6.411994436471358e-4	1.669206822085913	ENSMUSG00000036023
94420_f_at	-1.6206995172576466	9.312120377835075	-9.0869225698387055	4.3383068178910897e-7	1.6697506745708434e-5	6.631988277328302	ENSMUSG00000020038
94467_at	-1.6300255038028064	7.153228460136713	-8.687144215967052	7.296935377854527e-7	2.510306583984775e-5	6.0941909319124346	NA.32
97220_at	-1.642561269041206	10.066402003155925	-6.5378033417144215	1.6484762772062947e-5	2.6528571842464186e-4	2.863008669640079	ENSMUSG00000022913
98849_at	-1.6506841824342988	7.4443837308868375	-6.2063027147878245	2.812193870399534e-5	3.9999743622456507e-4	2.309675846056127	ENSMUSG00000031953
103406_at	-1.6508267624977488	10.512757762603258	-6.6541131314963256	1.3716523870830629e-5	2.3273362785181098e-4	3.0535473316543253	ENSMUSG00000064037
100979_at	-1.6536263623419103	10.41980384157994	-7.009660675231421	7.908346904364632e-6	1.526420960459127e-4	3.6244794857356144	ENSMUSG00000024317
161603_r_at	-1.6611419278744002	9.603132045306538	-6.341809308686697	2.256489019722499e-5	3.382837320323477e-4	2.5376993195945463	ENSMUSG00000024376
95733_at	-1.6662703585676546	10.180062063645849	-9.517188443780725	2.525606226582664e-7	1.1105553013226869e-5	7.19080894135341	ENSMUSG00000023942
100957_at	-1.6724686488825213	9.798765131856987	-6.499340526768167	1.7525106686531482e-5	2.7843960852596075e-4	2.7995876982473433	ENSMUSG00000029911
94542_at	-1.6778882918972764	7.70497997451952	-12.934051959646448	6.113387107740924e-9	6.756104265616696e-7	11.001810142781785	ENSMUSG00000059474
103927_at	-1.6823927698538927	9.429306201563827	-8.345122493603688	1.1544306714321658e-6	3.5076715875535006e-5	5.619263039684418	ENSMUSG00000074221
103308_at	-1.6839979003560526	8.535026189336682	-10.768967044664285	5.787320718815358e-8	3.764169850862823e-6	8.707738367648997	ENSMUSG00000047534
93112_at	-1.6853667223885083	10.269020185152979	-12.866633518778878	6.5240362385326944e-9	7.14571364027166e-7	10.935893456466882	ENSMUSG00000002870
98619_at	-1.6856668755836086	9.026067307445098	-8.549753061474439	8.759666277139356e-7	2.848716470544695e-5	5.905085789490403	ENSMUSG00000026281
160712_r_at	-1.6862335244887845	8.937629191690483	-6.036327047365648	3.7199742974795416e-5	4.973772915088278e-4	2.0200574281013832	ENSMUSG00000043439
96539_at	-1.7239117660948802	7.286327895055196	-6.775088153055419	1.1351317153396641e-5	1.9993688097548273e-4	3.2497507348093055	ENSMUSG00000036371
95507_at	-1.7374384381969588	10.109090241308946	-6.272260361827513	2.5256237430206724e-5	3.675989429235683e-4	2.420983645296163	ENSMUSG00000031432
93071_at	-1.741255427282006	12.571227760039429	-7.515704881397867	3.716225442866418e-6	8.685142662445875e-5	4.407601355960985	ENSMUSG00000005566
160783_at	-1.744091413168329	7.835533544732863	-8.555680799530835	8.690511910726303e-7	2.8410238937473838e-5	5.913290804998676	ENSMUSG00000037526
95387_f_at	-1.7457637752755435	9.295512901505438	-6.547849236940992	1.6223904302826357e-5	2.6244056597628956e-4	2.87953956335876	ENSMUSG00000030539
94352_at	-1.7577272926185739	8.665555672481467	-7.338565725050991	4.822669748384895e-6	1.0510558432431162e-4	4.1373557655722895	ENSMUSG00000059474.1
